epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,253.128,0.56769,0.76735,1,0.59582,0.0670924,0.0003324,0.0003324
2,488.568,0.34477,0.90389,1,0.23873,0.0340852,0.000658532,0.000658532
3,736.912,0.27064,0.93135,1,0.17865,0.00104968,0.000956311,0.000956311
4,966.38,0.23007,0.91228,1,0.23564,0.000905463,0.000905463,0.000905463
5,1187.3,0.19928,0.95881,1,0.119,0.00083622,0.00083622,0.00083622
6,1403.05,0.17261,0.96262,1,0.09039,0.0007525,0.0007525,0.0007525
7,1618.64,0.13913,0.96796,1,0.09135,0.000657963,0.000657963,0.000657963
8,1834.31,0.1176,0.97025,1,0.08484,0.000556742,0.000556742,0.000556742
9,2061.35,0.10936,0.97788,1,0.05957,0.000453258,0.000453258,0.000453258
10,2297.14,0.09621,0.9878,1,0.03642,0.000352037,0.000352037,0.000352037
11,2534.46,0.09285,0.9878,1,0.03398,0.0002575,0.0002575,0.0002575
12,2771.2,0.08368,0.98932,1,0.03228,0.00017378,0.00017378,0.00017378
13,3005.88,0.07113,0.9878,1,0.02979,0.000104537,0.000104537,0.000104537
14,3240.16,0.07411,0.9878,1,0.02924,5.2795e-05,5.2795e-05,5.2795e-05
15,3473.35,0.06316,0.98627,1,0.02992,2.08169e-05,2.08169e-05,2.08169e-05
